Annual Income (k$),Spending Score (1-100),segmentasi
15,39,1
15,81,4
16,6,1
16,77,4
17,40,1
17,76,4
18,6,1
18,94,4
19,3,1
19,72,4
19,14,1
19,99,4
20,15,1
20,77,4
20,13,1
20,79,4
21,35,1
21,66,4
23,29,1
23,98,4
24,35,1
24,73,4
25,5,1
25,73,4
28,14,1
28,82,4
28,32,1
28,61,4
29,31,1
29,87,4
30,4,1
30,73,4
33,4,1
33,92,4
33,14,1
33,81,4
34,17,1
34,73,4
37,26,1
37,75,4
38,35,1
38,92,4
39,36,1
39,61,2
39,28,1
39,65,4
40,55,2
40,47,2
40,42,2
40,42,2
42,52,2
42,60,2
43,54,2
43,60,2
43,45,2
43,41,2
44,50,2
44,46,2
46,51,2
46,46,2
46,56,2
46,55,2
47,52,2
47,59,2
48,51,2
48,59,2
48,50,2
48,48,2
48,59,2
48,47,2
49,55,2
49,42,2
50,49,2
50,56,2
54,47,2
54,54,2
54,53,2
54,48,2
54,52,2
54,42,2
54,51,2
54,55,2
54,41,2
54,44,2
54,57,2
54,46,2
57,58,2
57,55,2
58,60,2
58,46,2
59,55,2
59,41,2
60,49,2
60,40,2
60,42,2
60,52,2
60,47,2
60,50,2
61,42,2
61,49,2
62,41,2
62,48,2
62,59,2
62,55,2
62,56,2
62,42,2
63,50,2
63,46,2
63,43,2
63,48,2
63,52,2
63,54,2
64,42,2
64,46,2
65,48,2
65,50,2
65,43,2
65,59,2
67,43,2
67,57,2
67,56,2
67,40,2
69,58,2
69,91,3
70,29,0
70,77,3
71,35,2
71,95,3
71,11,0
71,75,3
71,9,0
71,75,3
72,34,2
72,71,3
73,5,0
73,88,3
73,7,0
73,73,3
74,10,0
74,72,3
75,5,0
75,93,3
76,40,2
76,87,3
77,12,0
77,97,3
77,36,0
77,74,3
78,22,0
78,90,3
78,17,0
78,88,3
78,20,0
78,76,3
78,16,0
78,89,3
78,1,0
78,78,3
78,1,0
78,73,3
79,35,0
79,83,3
81,5,0
81,93,3
85,26,0
85,75,3
86,20,0
86,95,3
87,27,0
87,63,3
87,13,0
87,75,3
87,10,0
87,92,3
88,13,0
88,86,3
88,15,0
88,69,3
93,14,0
93,90,3
97,32,0
97,86,3
98,15,0
98,88,3
99,39,0
99,97,3
101,24,0
101,68,3
103,17,0
103,85,3
103,23,0
103,69,3
113,8,0
113,91,3
120,16,0
120,79,3
126,28,0
126,74,3
137,18,0
137,83,3
